# ATOM = 1 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -20.00000000       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.98499250       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.96998499       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.95497749       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.93996998       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.92496248       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.90995498       0.00000001      0.00000001       0.00000000       0.00000000       0.00000000
    -19.89494747       0.00000002      0.00000002       0.00000000       0.00000000       0.00000000
    -19.87993997       0.00000005      0.00000005       0.00000000       0.00000000       0.00000000
    -19.86493247       0.00000010      0.00000010       0.00000000       0.00000000       0.00000000
    -19.84992496       0.00000022      0.00000022       0.00000000       0.00000000       0.00000000
    -19.83491746       0.00000044      0.00000044       0.00000000       0.00000000       0.00000000
    -19.81990995       0.00000089      0.00000089       0.00000000       0.00000000       0.00000000
    -19.80490245       0.00000175      0.00000175       0.00000000       0.00000000       0.00000000
    -19.78989495       0.00000337      0.00000336       0.00000000       0.00000000       0.00000000
    -19.77488744       0.00000635      0.00000633       0.00000001       0.00000001       0.00000000
    -19.75987994       0.00001170      0.00001168       0.00000001       0.00000001       0.00000000
    -19.74487244       0.00002112      0.00002107       0.00000002       0.00000002       0.00000000
    -19.72986493       0.00003730      0.00003722       0.00000004       0.00000004       0.00000000
    -19.71485743       0.00006452      0.00006437       0.00000008       0.00000008       0.00000000
    -19.69984992       0.00010926      0.00010899       0.00000013       0.00000013       0.00000000
    -19.68484242       0.00018116      0.00018070       0.00000023       0.00000023       0.00000000
    -19.66983492       0.00029417      0.00029339       0.00000039       0.00000039       0.00000000
    -19.65482741       0.00046783      0.00046654       0.00000064       0.00000064       0.00000000
    -19.63981991       0.00072875      0.00072666       0.00000104       0.00000104       0.00000000
    -19.62481241       0.00111208      0.00110876       0.00000166       0.00000166       0.00000000
    -19.60980490       0.00166276      0.00165757       0.00000259       0.00000259       0.00000000
    -19.59479740       0.00243624      0.00242830       0.00000397       0.00000397       0.00000000
    -19.57978989       0.00349857      0.00348662       0.00000597       0.00000597       0.00000000
    -19.56478239       0.00492521      0.00490758       0.00000882       0.00000882       0.00000000
    -19.54977489       0.00679857      0.00677301       0.00001278       0.00001278       0.00000000
    -19.53476738       0.00920393      0.00916754       0.00001819       0.00001819       0.00000000
    -19.51975988       0.01222384      0.01217294       0.00002545       0.00002545       0.00000000
    -19.50475238       0.01593123      0.01586123       0.00003500       0.00003500       0.00000000
    -19.48974487       0.02038168      0.02028701       0.00004733       0.00004733       0.00000000
    -19.47473737       0.02560573      0.02547979       0.00006297       0.00006297       0.00000000
    -19.45972986       0.03160204      0.03143716       0.00008244       0.00008244       0.00000000
    -19.44472236       0.03833245      0.03811991       0.00010627       0.00010627       0.00000000
    -19.42971486       0.04571979      0.04544990       0.00013494       0.00013494       0.00000000
    -19.41470735       0.05364911      0.05331135       0.00016888       0.00016888       0.00000000
    -19.39969985       0.06197249      0.06155568       0.00020840       0.00020840       0.00000000
    -19.38469235       0.07051722      0.07000973       0.00025375       0.00025375       0.00000000
    -19.36968484       0.07909660      0.07848659       0.00030500       0.00030500       0.00000000
    -19.35467734       0.08752227      0.08679797       0.00036215       0.00036215       0.00000000
    -19.33966983       0.09561670      0.09476664       0.00042503       0.00042503       0.00000000
    -19.32466233       0.10322449      0.10223772       0.00049339       0.00049339       0.00000000
    -19.30965483       0.11022122      0.10908752       0.00056685       0.00056685       0.00000000
    -19.29464732       0.11651918      0.11522921       0.00064498       0.00064498       0.00000000
    -19.27963982       0.12206946      0.12061484       0.00072731       0.00072731       0.00000000
    -19.26463232       0.12686054      0.12523390       0.00081332       0.00081332       0.00000000
    -19.24962481       0.13091402      0.12910901       0.00090251       0.00090251       0.00000000
    -19.23461731       0.13427823      0.13228944       0.00099440       0.00099440       0.00000000
    -19.21960980       0.13702063      0.13484355       0.00108854       0.00108854       0.00000000
    -19.20460230       0.13922018      0.13685108       0.00118455       0.00118455       0.00000000
    -19.18959480       0.14096021      0.13839605       0.00128208       0.00128208       0.00000000
    -19.17458729       0.14232250      0.13956080       0.00138085       0.00138085       0.00000000
    -19.15957979       0.14338292      0.14042167       0.00148062       0.00148062       0.00000000
    -19.14457229       0.14420856      0.14104614       0.00158121       0.00158121       0.00000000
    -19.12956478       0.14485634      0.14149137       0.00168248       0.00168248       0.00000000
    -19.11455728       0.14537271      0.14180408       0.00178431       0.00178431       0.00000000
    -19.09954977       0.14579434      0.14202107       0.00188663       0.00188663       0.00000000
    -19.08454227       0.14614917      0.14217040       0.00198938       0.00198938       0.00000000
    -19.06953477       0.14645787      0.14227285       0.00209251       0.00209251       0.00000000
    -19.05452726       0.14673528      0.14234330       0.00219599       0.00219599       0.00000000
    -19.03951976       0.14699172      0.14239214       0.00229979       0.00229979       0.00000000
    -19.02451226       0.14723420      0.14242638       0.00240391       0.00240391       0.00000000
    -19.00950475       0.14746731      0.14245067       0.00250832       0.00250832       0.00000000
    -18.99449725       0.14769402      0.14246799       0.00261301       0.00261301       0.00000000
    -18.97948974       0.14791616      0.14248019       0.00271798       0.00271798       0.00000000
    -18.96448224       0.14813484      0.14248841       0.00282322       0.00282322       0.00000000
    -18.94947474       0.14835074      0.14249332       0.00292871       0.00292871       0.00000000
    -18.93446723       0.14856422      0.14249532       0.00303445       0.00303445       0.00000000
    -18.91945973       0.14877550      0.14249463       0.00314044       0.00314044       0.00000000
    -18.90445223       0.14898470      0.14249139       0.00324665       0.00324665       0.00000000
    -18.88944472       0.14919186      0.14248566       0.00335310       0.00335310       0.00000000
    -18.87443722       0.14939702      0.14247749       0.00345976       0.00345976       0.00000000
    -18.85942971       0.14960019      0.14246691       0.00356664       0.00356664       0.00000000
    -18.84442221       0.14980137      0.14245394       0.00367372       0.00367372       0.00000000
    -18.82941471       0.15000057      0.14243859       0.00378099       0.00378099       0.00000000
    -18.81440720       0.15019779      0.14242088       0.00388846       0.00388846       0.00000000
    -18.79939970       0.15039302      0.14240081       0.00399610       0.00399610       0.00000000
    -18.78439220       0.15058626      0.14237841       0.00410392       0.00410392       0.00000000
    -18.76938469       0.15077751      0.14235368       0.00421191       0.00421191       0.00000000
    -18.75437719       0.15096676      0.14232664       0.00432006       0.00432006       0.00000000
    -18.73936968       0.15115403      0.14229731       0.00442836       0.00442836       0.00000000
    -18.72436218       0.15133930      0.14226569       0.00453680       0.00453680       0.00000000
    -18.70935468       0.15152258      0.14223181       0.00464539       0.00464539       0.00000000
    -18.69434717       0.15170387      0.14219567       0.00475410       0.00475410       0.00000000
    -18.67933967       0.15188316      0.14215730       0.00486293       0.00486293       0.00000000
    -18.66433217       0.15206047      0.14211670       0.00497188       0.00497188       0.00000000
    -18.64932466       0.15223578      0.14207390       0.00508094       0.00508094       0.00000000
    -18.63431716       0.15240911      0.14202891       0.00519010       0.00519010       0.00000000
    -18.61930965       0.15258046      0.14198175       0.00529935       0.00529935       0.00000000
    -18.60430215       0.15274983      0.14193244       0.00540870       0.00540870       0.00000000
    -18.58929465       0.15291722      0.14188098       0.00551812       0.00551812       0.00000000
    -18.57428714       0.15308263      0.14182741       0.00562761       0.00562761       0.00000000
    -18.55927964       0.15324608      0.14177173       0.00573717       0.00573717       0.00000000
    -18.54427214       0.15340756      0.14171397       0.00584679       0.00584679       0.00000000
    -18.52926463       0.15356708      0.14165415       0.00595646       0.00595646       0.00000000
    -18.51425713       0.15372464      0.14159228       0.00606618       0.00606618       0.00000000
    -18.49924962       0.15388026      0.14152838       0.00617594       0.00617594       0.00000000
    -18.48424212       0.15403393      0.14146247       0.00628573       0.00628573       0.00000000
    -18.46923462       0.15418566      0.14139458       0.00639554       0.00639554       0.00000000
    -18.45422711       0.15433547      0.14132471       0.00650538       0.00650538       0.00000000
    -18.43921961       0.15448335      0.14125290       0.00661522       0.00661522       0.00000000
    -18.42421211       0.15462931      0.14117916       0.00672508       0.00672508       0.00000000
    -18.40920460       0.15477337      0.14110352       0.00683493       0.00683493       0.00000000
    -18.39419710       0.15491553      0.14102598       0.00694477       0.00694477       0.00000000
    -18.37918959       0.15505579      0.14094658       0.00705461       0.00705461       0.00000000
    -18.36418209       0.15519417      0.14086533       0.00716442       0.00716442       0.00000000
    -18.34917459       0.15533068      0.14078226       0.00727421       0.00727421       0.00000000
    -18.33416708       0.15546532      0.14069738       0.00738397       0.00738397       0.00000000
    -18.31915958       0.15559810      0.14061072       0.00749369       0.00749369       0.00000000
    -18.30415208       0.15572904      0.14052231       0.00760336       0.00760336       0.00000000
    -18.28914457       0.15585814      0.14043215       0.00771299       0.00771299       0.00000000
    -18.27413707       0.15598541      0.14034028       0.00782257       0.00782257       0.00000000
    -18.25912956       0.15611087      0.14024671       0.00793208       0.00793208       0.00000000
    -18.24412206       0.15623453      0.14015147       0.00804153       0.00804153       0.00000000
    -18.22911456       0.15635639      0.14005458       0.00815091       0.00815091       0.00000000
    -18.21410705       0.15647647      0.13995606       0.00826020       0.00826020       0.00000000
    -18.19909955       0.15659478      0.13985593       0.00836942       0.00836942       0.00000000
    -18.18409205       0.15671133      0.13975423       0.00847855       0.00847855       0.00000000
    -18.16908454       0.15682613      0.13965096       0.00858759       0.00858759       0.00000000
    -18.15407704       0.15693920      0.13954615       0.00869652       0.00869652       0.00000000
    -18.13906953       0.15705054      0.13943982       0.00880536       0.00880536       0.00000000
    -18.12406203       0.15716018      0.13933201       0.00891409       0.00891409       0.00000000
    -18.10905453       0.15726812      0.13922272       0.00902270       0.00902270       0.00000000
    -18.09404702       0.15737437      0.13911198       0.00913120       0.00913120       0.00000000
    -18.07903952       0.15747896      0.13899982       0.00923957       0.00923957       0.00000000
    -18.06403202       0.15758188      0.13888625       0.00934781       0.00934781       0.00000000
    -18.04902451       0.15768316      0.13877131       0.00945593       0.00945593       0.00000000
    -18.03401701       0.15778282      0.13865501       0.00956390       0.00956390       0.00000000
    -18.01900950       0.15788085      0.13853737       0.00967174       0.00967174       0.00000000
    -18.00400200       0.15797729      0.13841843       0.00977943       0.00977943       0.00000000
