# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -20.00000000       0.00000000
    -19.98499250       0.00000000
    -19.96998499       0.00000000
    -19.95497749       0.00000000
    -19.93996998       0.00000000
    -19.92496248       0.00000000
    -19.90995498       0.00000000
    -19.89494747       0.00000000
    -19.87993997       0.00000000
    -19.86493247       0.00000000
    -19.84992496       0.00000000
    -19.83491746       0.00000000
    -19.81990995       0.00000001
    -19.80490245       0.00000002
    -19.78989495       0.00000005
    -19.77488744       0.00000014
    -19.75987994       0.00000035
    -19.74487244       0.00000087
    -19.72986493       0.00000207
    -19.71485743       0.00000479
    -19.69984992       0.00001068
    -19.68484242       0.00002303
    -19.66983492       0.00004804
    -19.65482741       0.00009694
    -19.63981991       0.00018924
    -19.62481241       0.00035748
    -19.60980490       0.00065354
    -19.59479740       0.00115659
    -19.57978989       0.00198190
    -19.56478239       0.00328924
    -19.54977489       0.00528879
    -19.53476738       0.00824171
    -19.51975988       0.01245235
    -19.50475238       0.01824962
    -19.48974487       0.02595660
    -19.47473737       0.03584973
    -19.45972986       0.04811223
    -19.44472236       0.06278893
    -19.42971486       0.07975156
    -19.41470735       0.09868315
    -19.39969985       0.11908787
    -19.38469235       0.14032761
    -19.36968484       0.16168166
    -19.35467734       0.18242001
    -19.33966983       0.20187828
    -19.32466233       0.21952138
    -19.30965483       0.23498601
    -19.29464732       0.24809675
    -19.27963982       0.25885599
    -19.26463232       0.26741319
    -19.24962481       0.27402153
    -19.23461731       0.27899126
    -19.21960980       0.28264736
    -19.20460230       0.28529677
    -19.18959480       0.28720723
    -19.17458729       0.28859726
    -19.15957979       0.28963505
    -19.14457229       0.29044330
    -19.12956478       0.29110720
    -19.11455728       0.29168315
    -19.09954977       0.29220681
    -19.08454227       0.29269980
    -19.06953477       0.29317464
    -19.05452726       0.29363831
    -19.03951976       0.29409452
    -19.02451226       0.29454517
    -19.00950475       0.29499119
    -18.99449725       0.29543301
    -18.97948974       0.29587082
    -18.96448224       0.29630469
    -18.94947474       0.29673465
    -18.93446723       0.29716071
    -18.91945973       0.29758284
    -18.90445223       0.29800105
    -18.88944472       0.29841533
    -18.87443722       0.29882566
    -18.85942971       0.29923203
    -18.84442221       0.29963445
    -18.82941471       0.30003289
    -18.81440720       0.30042736
    -18.79939970       0.30081785
    -18.78439220       0.30120436
    -18.76938469       0.30158688
    -18.75437719       0.30196540
    -18.73936968       0.30233994
    -18.72436218       0.30271048
    -18.70935468       0.30307703
