# ATOM = 2 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -20.00000000       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.98499250       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.96998499       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.95497749       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.93996998       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.92496248       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.90995498       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.89494747       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.87993997       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.86493247       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.84992496       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.83491746       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.81990995       0.00000000      0.00000000       0.00000000       0.00000000       0.00000000
    -19.80490245       0.00000001      0.00000001       0.00000000       0.00000000       0.00000000
    -19.78989495       0.00000003      0.00000003       0.00000000       0.00000000       0.00000000
    -19.77488744       0.00000007      0.00000007       0.00000000       0.00000000       0.00000000
    -19.75987994       0.00000018      0.00000018       0.00000000       0.00000000       0.00000000
    -19.74487244       0.00000043      0.00000043       0.00000000       0.00000000       0.00000000
    -19.72986493       0.00000104      0.00000104       0.00000000       0.00000000       0.00000000
    -19.71485743       0.00000239      0.00000239       0.00000000       0.00000000       0.00000000
    -19.69984992       0.00000534      0.00000533       0.00000000       0.00000000       0.00000000
    -19.68484242       0.00001151      0.00001149       0.00000001       0.00000001       0.00000000
    -19.66983492       0.00002402      0.00002398       0.00000002       0.00000002       0.00000000
    -19.65482741       0.00004847      0.00004838       0.00000004       0.00000004       0.00000000
    -19.63981991       0.00009462      0.00009444       0.00000009       0.00000009       0.00000000
    -19.62481241       0.00017874      0.00017838       0.00000018       0.00000018       0.00000000
    -19.60980490       0.00032677      0.00032608       0.00000035       0.00000035       0.00000000
    -19.59479740       0.00057830      0.00057701       0.00000065       0.00000064       0.00000000
    -19.57978989       0.00099096      0.00098863       0.00000117       0.00000116       0.00000000
    -19.56478239       0.00164463      0.00164055       0.00000205       0.00000203       0.00000000
    -19.54977489       0.00264441      0.00263747       0.00000348       0.00000345       0.00000000
    -19.53476738       0.00412088      0.00410942       0.00000575       0.00000570       0.00000000
    -19.51975988       0.00622621      0.00620782       0.00000923       0.00000915       0.00000000
    -19.50475238       0.00912486      0.00909616       0.00001441       0.00001429       0.00000000
    -19.48974487       0.01297837      0.01293479       0.00002188       0.00002169       0.00000000
    -19.47473737       0.01792496      0.01786054       0.00003235       0.00003207       0.00000000
    -19.45972986       0.02405624      0.02396344       0.00004660       0.00004621       0.00000000
    -19.44472236       0.03139464      0.03126427       0.00006545       0.00006492       0.00000000
    -19.42971486       0.03987600      0.03969726       0.00008971       0.00008902       0.00000000
    -19.41470735       0.04934186      0.04910247       0.00012013       0.00011925       0.00000000
    -19.39969985       0.05954428      0.05923076       0.00015731       0.00015622       0.00000000
    -19.38469235       0.07016424      0.06976225       0.00020164       0.00020034       0.00000000
    -19.36968484       0.08084136      0.08033623       0.00025332       0.00025180       0.00000000
    -19.35467734       0.09121064      0.09058783       0.00031227       0.00031054       0.00000000
    -19.33966983       0.10093990      0.10018546       0.00037818       0.00037626       0.00000000
    -19.32466233       0.10976157      0.10886259       0.00045055       0.00044844       0.00000000
    -19.30965483       0.11749401      0.11643889       0.00052869       0.00052642       0.00000000
    -19.29464732       0.12404948      0.12282816       0.00061187       0.00060944       0.00000000
    -19.27963982       0.12942918      0.12803318       0.00069929       0.00069671       0.00000000
    -19.26463232       0.13370783      0.13213019       0.00079018       0.00078746       0.00000000
    -19.24962481       0.13701199      0.13524717       0.00088383       0.00088099       0.00000000
    -19.23461731       0.13949679      0.13754045       0.00097965       0.00097669       0.00000000
    -19.21960980       0.14132472      0.13917354       0.00107713       0.00107406       0.00000000
    -19.20460230       0.14264926      0.14030069       0.00117585       0.00117272       0.00000000
    -19.18959480       0.14360428      0.14105638       0.00127552       0.00127238       0.00000000
    -19.17458729       0.14429907      0.14155033       0.00137591       0.00137283       0.00000000
    -19.15957979       0.14481774      0.14186696       0.00147686       0.00147392       0.00000000
    -19.14457229       0.14522168      0.14206785       0.00157827       0.00157556       0.00000000
    -19.12956478       0.14555350      0.14219575       0.00168006       0.00167768       0.00000000
    -19.11455728       0.14584141      0.14227897       0.00178221       0.00178023       0.00000000
    -19.09954977       0.14610328      0.14233542       0.00188468       0.00188318       0.00000000
    -19.08454227       0.14634991      0.14237596       0.00198747       0.00198648       0.00000000
    -19.06953477       0.14658757      0.14240687       0.00209058       0.00209011       0.00000000
    -19.05452726       0.14681973      0.14243167       0.00219402       0.00219404       0.00000000
    -19.03951976       0.14704824      0.14245223       0.00229777       0.00229824       0.00000000
    -19.02451226       0.14727402      0.14246949       0.00240185       0.00240268       0.00000000
    -19.00950475       0.14749750      0.14248391       0.00250624       0.00250735       0.00000000
    -18.99449725       0.14771887      0.14249570       0.00261094       0.00261223       0.00000000
    -18.97948974       0.14793818      0.14250495       0.00271593       0.00271730       0.00000000
    -18.96448224       0.14815545      0.14251167       0.00282121       0.00282257       0.00000000
    -18.94947474       0.14837064      0.14251587       0.00292675       0.00292802       0.00000000
    -18.93446723       0.14858375      0.14251754       0.00303254       0.00303367       0.00000000
    -18.91945973       0.14879476      0.14251668       0.00313857       0.00313951       0.00000000
    -18.90445223       0.14900368      0.14251328       0.00324484       0.00324556       0.00000000
    -18.88944472       0.14921051      0.14250737       0.00335132       0.00335181       0.00000000
    -18.87443722       0.14941528      0.14249897       0.00345802       0.00345829       0.00000000
    -18.85942971       0.14961802      0.14248809       0.00356494       0.00356499       0.00000000
    -18.84442221       0.14981878      0.14247479       0.00367207       0.00367193       0.00000000
    -18.82941471       0.15001760      0.14245909       0.00377941       0.00377910       0.00000000
    -18.81440720       0.15021451      0.14244104       0.00388695       0.00388653       0.00000000
    -18.79939970       0.15040953      0.14242066       0.00399468       0.00399419       0.00000000
    -18.78439220       0.15060268      0.14239798       0.00410261       0.00410209       0.00000000
    -18.76938469       0.15079394      0.14237303       0.00421071       0.00421020       0.00000000
    -18.75437719       0.15098329      0.14234581       0.00431896       0.00431852       0.00000000
    -18.73936968       0.15117071      0.14231634       0.00442736       0.00442701       0.00000000
    -18.72436218       0.15135616      0.14228462       0.00453590       0.00453565       0.00000000
    -18.70935468       0.15153961      0.14225064       0.00464455       0.00464442       0.00000000
    -18.69434717       0.15172103      0.14221442       0.00475331       0.00475330       0.00000000
    -18.67933967       0.15190042      0.14217595       0.00486218       0.00486228       0.00000000
    -18.66433217       0.15207776      0.14213524       0.00497116       0.00497136       0.00000000
    -18.64932466       0.15225306      0.14209229       0.00508024       0.00508054       0.00000000
    -18.63431716       0.15242635      0.14204710       0.00518943       0.00518982       0.00000000
    -18.61930965       0.15259762      0.14199968       0.00529874       0.00529920       0.00000000
    -18.60430215       0.15276689      0.14195005       0.00540816       0.00540868       0.00000000
    -18.58929465       0.15293418      0.14189822       0.00551770       0.00551826       0.00000000
    -18.57428714       0.15309949      0.14184421       0.00562736       0.00562793       0.00000000
    -18.55927964       0.15326282      0.14178805       0.00573712       0.00573766       0.00000000
    -18.54427214       0.15342419      0.14172978       0.00584697       0.00584744       0.00000000
    -18.52926463       0.15358358      0.14166944       0.00595689       0.00595726       0.00000000
    -18.51425713       0.15374103      0.14160707       0.00606686       0.00606710       0.00000000
    -18.49924962       0.15389653      0.14154272       0.00617686       0.00617695       0.00000000
    -18.48424212       0.15405011      0.14147643       0.00628688       0.00628680       0.00000000
    -18.46923462       0.15420177      0.14140822       0.00639690       0.00639665       0.00000000
    -18.45422711       0.15435154      0.14133813       0.00650690       0.00650650       0.00000000
    -18.43921961       0.15449941      0.14126617       0.00661688       0.00661636       0.00000000
    -18.42421211       0.15464540      0.14119234       0.00672684       0.00672622       0.00000000
    -18.40920460       0.15478950      0.14111664       0.00683677       0.00683609       0.00000000
    -18.39419710       0.15493172      0.14103909       0.00694667       0.00694596       0.00000000
    -18.37918959       0.15507205      0.14095966       0.00705655       0.00705585       0.00000000
    -18.36418209       0.15521050      0.14087838       0.00716639       0.00716573       0.00000000
    -18.34917459       0.15534705      0.14079525       0.00727620       0.00727560       0.00000000
    -18.33416708       0.15548171      0.14071028       0.00738598       0.00738545       0.00000000
    -18.31915958       0.15561450      0.14062351       0.00749571       0.00749527       0.00000000
    -18.30415208       0.15574541      0.14053496       0.00760539       0.00760506       0.00000000
    -18.28914457       0.15587447      0.14044466       0.00771501       0.00771479       0.00000000
    -18.27413707       0.15600166      0.14035265       0.00782456       0.00782446       0.00000000
    -18.25912956       0.15612701      0.14025895       0.00793401       0.00793405       0.00000000
    -18.24412206       0.15625053      0.14016359       0.00804338       0.00804356       0.00000000
    -18.22911456       0.15637223      0.14006662       0.00815264       0.00815297       0.00000000
    -18.21410705       0.15649213      0.13996805       0.00826179       0.00826229       0.00000000
    -18.19909955       0.15661024      0.13986791       0.00837084       0.00837148       0.00000000
    -18.18409205       0.15672656      0.13976621       0.00847979       0.00848056       0.00000000
    -18.16908454       0.15684109      0.13966294       0.00858865       0.00858950       0.00000000
    -18.15407704       0.15695384      0.13955813       0.00869741       0.00869831       0.00000000
    -18.13906953       0.15706484      0.13945177       0.00880609       0.00880698       0.00000000
    -18.12406203       0.15717410      0.13934391       0.00891467       0.00891551       0.00000000
    -18.10905453       0.15728164      0.13923457       0.00902316       0.00902391       0.00000000
    -18.09404702       0.15738747      0.13912373       0.00913154       0.00913219       0.00000000
    -18.07903952       0.15749158      0.13901142       0.00923981       0.00924034       0.00000000
    -18.06403202       0.15759400      0.13889766       0.00934796       0.00934838       0.00000000
    -18.04902451       0.15769478      0.13878249       0.00945597       0.00945632       0.00000000
    -18.03401701       0.15779401      0.13866600       0.00956386       0.00956414       0.00000000
    -18.01900950       0.15789173      0.13854823       0.00967163       0.00967187       0.00000000
    -18.00400200       0.15798796      0.13842922       0.00977927       0.00977948       0.00000000
